filename,tag,name,type,offscreen,filtered_out,topleft,bottomright
Window-Word.png,Window,Word,window,False,False,"[0,0]","[1942,1042]"
Pane-.png,Pane,,pane,False,True,"[11,11]","[1931,1031]"
Pane-.png,Pane,,Pane,False,True,"[11,11]","[1931,1031]"
Pane-.png,Pane,,Pane,False,False,"[11,66]","[221,1031]"
List-File.png,List,File,List,False,False,"[11,66]","[221,1031]"
ListItem-Home.png,ListItem,Home,List Item,False,False,"[11,134]","[221,326]"
ListItem-New.png,ListItem,New,List Item,False,False,"[11,326]","[221,518]"
ListItem-Open.png,ListItem,Open,List Item,False,False,"[11,518]","[221,710]"
ListItem-Account.png,ListItem,Account,List Item,False,False,"[11,824]","[221,885]"
ListItem-Feedback.png,ListItem,Feedback,List Item,False,False,"[11,885]","[221,946]"
ListItem-Options.png,ListItem,Options,List Item,False,False,"[11,946]","[221,1007]"
TitleBar-Word.png,TitleBar,Word,Title Bar,False,True,"[221,11]","[1372,62]"
MenuItem-Marko Savic.png,MenuItem,Marko Savic,Menu Item,False,True,"[1372,11]","[1559,58]"
Image-Marko Savic.png,Image,Marko Savic,Image,False,True,"[1505,16]","[1541,52]"
Button-Help.png,Button,Help,Button,False,True,"[1655,11]","[1724,58]"
Button-Minimize.png,Button,Minimize,Button,False,True,"[1724,11]","[1793,58]"
Button-Restore Down.png,Button,Restore Down,Button,False,False,"[1793,11]","[1862,58]"
Button-Close.png,Button,Close,Button,False,True,"[1862,11]","[1931,58]"
Pane-Backstage view.png,Pane,Backstage view,Pane,False,False,"[221,67]","[1931,1031]"
Group-Account.png,Group,Account,Group,False,True,"[221,32]","[1905,1031]"
Text-Account.png,Text,Account,Text,False,False,"[281,32]","[491,137]"
Group-User Information.png,Group,User Information,Group,False,False,"[281,137]","[866,200]"
Group-User Information.png,Group,User Information,Group,False,False,"[288,152]","[844,197]"
Text-User Information.png,Text,User Information,Text,False,False,"[288,152]","[520,197]"
Group-msavic21@univ.yo.oulu.fi.png,Group,msavic21@univ.yo.oulu.fi,Group,False,False,"[281,215]","[866,419]"
Button-Marko Savic. msavic21@univ.yo.oulu.fi..png,Button,Marko Savic. msavic21@univ.yo.oulu.fi.,Button,False,False,"[288,215]","[859,280]"
Image-Marko Savic.png,Image,Marko Savic,Image,False,False,"[292,220]","[346,274]"
Text-Marko Savic.png,Text,Marko Savic,Text,False,False,"[356,219]","[476,249]"
Text-msavic21@univ.yo.oulu.fi.png,Text,msavic21@univ.yo.oulu.fi,Text,False,False,"[356,248]","[559,273]"
HyperLink-Change photo.png,HyperLink,Change photo,Hyperlink,False,False,"[288,285]","[406,312]"
HyperLink-About me.png,HyperLink,About me,Hyperlink,False,False,"[288,318]","[372,345]"
HyperLink-Sign out.png,HyperLink,Sign out,Hyperlink,False,False,"[288,351]","[359,378]"
HyperLink-Switch account.png,HyperLink,Switch account,Hyperlink,False,False,"[288,384]","[410,411]"
Group-Account Privacy.png,Group,Account Privacy,Group,False,False,"[281,434]","[866,520]"
Text-Account Privacy.png,Text,Account Privacy,Text,False,False,"[288,434]","[479,472]"
Button-Manage Settings.png,Button,Manage Settings,Button,False,False,"[288,477]","[445,517]"
Group-Office Background.png,Group,Office Background,Group,False,False,"[281,535]","[866,615]"
Text-Office Background.png,Text,Office Background,Text,False,False,"[288,535]","[516,573]"
ComboBox-Office Background.png,ComboBox,Office Background,ComboBox,False,False,"[288,578]","[844,612]"
Button-Open.png,Button,Open,Button,False,False,"[817,579]","[843,611]"
Group-Office Theme.png,Group,Office Theme,Group,False,False,"[281,630]","[866,710]"
Text-Office Theme.png,Text,Office Theme,Text,False,False,"[288,630]","[455,668]"
ComboBox-Office Theme.png,ComboBox,Office Theme,ComboBox,False,False,"[288,673]","[844,707]"
Button-Open.png,Button,Open,Button,False,False,"[817,674]","[843,706]"
Group-Connected Services.png,Group,Connected Services,Group,False,False,"[281,725]","[866,966]"
Text-Connected Services.png,Text,Connected Services,Text,False,False,"[288,725]","[528,763]"
Text-OneDrive - Oulun yliopisto.png,Text,OneDrive - Oulun yliopisto,Text,False,False,"[344,774]","[604,804]"
Text-msavic21@univ.yo.oulu.fi.png,Text,msavic21@univ.yo.oulu.fi,Text,False,False,"[344,809]","[547,834]"
Text-Sites - Oulun yliopisto.png,Text,Sites - Oulun yliopisto,Text,False,False,"[344,851]","[557,881]"
Text-msavic21@univ.yo.oulu.fi.png,Text,msavic21@univ.yo.oulu.fi,Text,False,False,"[344,886]","[547,911]"
MenuItem-Add a service.png,MenuItem,Add a service,Menu Item,False,False,"[288,922]","[434,963]"
Group-Product Information.png,Group,Product Information,Group,False,False,"[956,137]","[1751,286]"
Group-Product Information.png,Group,Product Information,Group,False,False,"[963,152]","[1744,197]"
Text-Product Information.png,Text,Product Information,Text,False,False,"[963,152]","[1241,197]"
Group-Detailed Information.png,Group,Detailed Information,Group,False,False,"[963,202]","[1744,278]"
Text-.png,Text,,Text,True,True,"[11,11]","[11,11]"
Group-Subscription Product.png,Group,Subscription Product,Group,False,False,"[956,301]","[1751,550]"
Text-Subscription Product.png,Text,Subscription Product,Text,False,False,"[963,301]","[1212,339]"
Group-Detailed Information.png,Group,Detailed Information,Group,False,False,"[963,343]","[1744,383]"
Text-Microsoft 365 Apps for enterprise.png,Text,Microsoft 365 Apps for enterprise,Text,False,False,"[963,343]","[1292,373]"
Group-Detailed Information.png,Group,Detailed Information,Group,False,False,"[963,388]","[1744,453]"
Image-Word.png,Image,Word,Image,False,False,"[963,458]","[987,482]"
Image-Excel.png,Image,Excel,Image,False,False,"[1001,458]","[1025,482]"
Image-PowerPoint.png,Image,PowerPoint,Image,False,False,"[1039,458]","[1063,482]"
Image-Outlook.png,Image,Outlook,Image,False,False,"[1077,458]","[1101,482]"
Image-OneNote.png,Image,OneNote,Image,False,False,"[1115,458]","[1139,482]"
Image-Publisher.png,Image,Publisher,Image,False,False,"[1153,458]","[1177,482]"
Image-Access.png,Image,Access,Image,False,False,"[1191,458]","[1215,482]"
Image-Skype for Business.png,Image,Skype for Business,Image,False,False,"[1229,458]","[1253,482]"
Button-Manage Account.png,Button,Manage Account,Button,False,False,"[963,497]","[1121,537]"
Button-Change License.png,Button,Change License,Button,False,False,"[1135,497]","[1280,537]"
Group-Office Updates.png,Group,Office Updates,Group,False,False,"[956,565]","[1751,700]"
MenuItem-Update Options.png,MenuItem,Update Options,Menu Item,False,False,"[963,565]","[1111,692]"
Text-Office Updates.png,Text,Office Updates,Text,False,False,"[1111,565]","[1290,603]"
Text-Updates are automatically downloaded and installed..png,Text,Updates are automatically downloaded and installed.,Text,False,False,"[1111,607]","[1532,632]"
Group-About Word.png,Group,About Word,Group,False,False,"[956,715]","[1751,850]"
Button-About Word.png,Button,About Word,Button,False,False,"[963,715]","[1086,842]"
Text-About Word.png,Text,About Word,Text,False,False,"[1111,715]","[1261,753]"
