filename,tag,name,type,offscreen,filtered_out,topleft,bottomright
Window-Word.png,Window,Word,window,False,False,"[0,0]","[1942,1042]"
Window-Create New Folder.png,Window,Create New Folder,window,False,False,"[747,430]","[1195,602]"
Pane-.png,Pane,,Pane,False,False,"[748,475]","[1194,601]"
Window-Create New Folder.png,Window,Create New Folder,Window,False,False,"[748,475]","[1194,601]"
Edit-.png,Edit,,Edit Box,False,False,"[772,486]","[1170,529]"
Button-OK.png,Button,OK,Button,False,False,"[945,554]","[1058,590]"
Button-Cancel.png,Button,Cancel,Button,False,False,"[1072,554]","[1185,590]"
TitleBar-.png,TitleBar,,title bar,False,False,"[748,433]","[1194,475]"
Button-Close.png,Button,Close,button,False,False,"[1143,431]","[1195,475]"
Pane-.png,Pane,,pane,False,True,"[11,11]","[1931,1031]"
Pane-.png,Pane,,Pane,False,True,"[11,11]","[1931,1031]"
Pane-.png,Pane,,Pane,False,False,"[11,66]","[221,1031]"
List-File.png,List,File,List,False,False,"[11,66]","[221,1031]"
ListItem-Home.png,ListItem,Home,List Item,False,False,"[11,134]","[221,326]"
ListItem-New.png,ListItem,New,List Item,False,False,"[11,326]","[221,518]"
ListItem-Open.png,ListItem,Open,List Item,False,False,"[11,518]","[221,710]"
ListItem-Account.png,ListItem,Account,List Item,False,False,"[11,824]","[221,885]"
ListItem-Feedback.png,ListItem,Feedback,List Item,False,False,"[11,885]","[221,946]"
ListItem-Options.png,ListItem,Options,List Item,False,False,"[11,946]","[221,1007]"
TitleBar-Word.png,TitleBar,Word,Title Bar,False,True,"[221,11]","[1372,62]"
MenuItem-Marko Savic.png,MenuItem,Marko Savic,Menu Item,False,True,"[1372,11]","[1559,58]"
Image-Marko Savic.png,Image,Marko Savic,Image,False,True,"[1505,16]","[1541,52]"
Button-Help.png,Button,Help,Button,False,True,"[1655,11]","[1724,58]"
Button-Minimize.png,Button,Minimize,Button,False,True,"[1724,11]","[1793,58]"
Button-Restore Down.png,Button,Restore Down,Button,False,True,"[1793,11]","[1862,58]"
Button-Close.png,Button,Close,Button,False,True,"[1862,11]","[1931,58]"
Pane-Backstage view.png,Pane,Backstage view,Pane,False,True,"[221,67]","[1931,1031]"
Group-Open.png,Group,Open,Group,False,True,"[221,67]","[1931,1031]"
Text-Open.png,Text,Open,Text,False,False,"[281,67]","[425,172]"
Group-Open.png,Group,Open,Group,False,False,"[281,172]","[756,1000]"
Pane-.png,Pane,,Pane,False,False,"[282,178]","[756,999]"
Menu-Open.png,Menu,Open,Menu,False,False,"[282,178]","[756,999]"
Group-.png,Group,,Group,False,False,"[282,178]","[756,811]"
TabItem-Recent.png,TabItem,Recent,Tab Item,False,False,"[282,178]","[756,260]"
TabItem-Shared with Me.png,TabItem,Shared with Me,Tab Item,False,False,"[282,265]","[756,331]"
TabItem-OneDrive - Oulun yliopisto - msavic21@univ.yo.oulu.fi.png,TabItem,OneDrive - Oulun yliopisto - msavic21@univ.yo.oulu.fi,Tab Item,False,False,"[282,336]","[756,460]"
Group-.png,Group,,Group,False,False,"[290,336]","[398,366]"
TabItem-Sites - Oulun yliopisto - msavic21@univ.yo.oulu.fi.png,TabItem,Sites - Oulun yliopisto - msavic21@univ.yo.oulu.fi,Tab Item,False,False,"[282,465]","[756,554]"
TabItem-This PC.png,TabItem,This PC,Tab Item,False,False,"[282,559]","[756,660]"
Group-.png,Group,,Group,False,False,"[290,559]","[398,589]"
TabItem-Add a Place.png,TabItem,Add a Place,Tab Item,False,False,"[282,665]","[756,731]"
Button-Browse.png,Button,Browse,Button,False,False,"[282,736]","[756,802]"
Pane-.png,Pane,,Pane,False,True,"[756,172]","[1930,1000]"
Group-Pick a Folder.png,Group,Pick a Folder,Group,False,False,"[801,178]","[1870,354]"
Button-Navigate Up.png,Button,Navigate Up,Button,False,False,"[808,185]","[846,223]"
ListItem-OneDrive - Oulun yliopisto.png,ListItem,OneDrive - Oulun yliopisto,List Item,False,False,"[846,183]","[1848,225]"
Button-OneDrive - Oulun yliopisto.png,Button,OneDrive - Oulun yliopisto,Button,False,False,"[846,183]","[1848,225]"
Edit-Search.png,Edit,Search,edit,False,False,"[904,257]","[1504,287]"
Button-New Folder.png,Button,New Folder,Button,False,False,"[1703,252]","[1848,292]"
Text-We didn't find anything to show here..png,Text,We didn't find anything to show here.,Text,False,False,"[808,326]","[1108,351]"
Group-.png,Group,,Group,False,True,"[801,384]","[1870,999]"
Pane-.png,Pane,,pane,False,True,"[536,160]","[1931,998]"
TitleBar-.png,TitleBar,,title bar,False,False,"[44,11]","[1931,45]"
MenuBar-System.png,MenuBar,System,menu bar,False,False,"[11,11]","[33,33]"
MenuItem-System.png,MenuItem,System,menu item,False,False,"[11,11]","[33,33]"
Button-Minimise.png,Button,Minimise,button,False,False,"[1831,10]","[1866,45]"
Button-Restore.png,Button,Restore,button,False,False,"[1864,10]","[1899,45]"
Button-Close.png,Button,Close,button,False,False,"[1897,10]","[1932,45]"
